SampleFile,BestN,BIC_1,BIC_2,BIC_3,BIC_4,BIC_5,count
B01_RD14-0003-44_45-1;1-M2S30-0.25IP-Q3.0_002.5sec.fsa,5,1468.7843807981,1057.610731210275,1047.620344720829,1037.934972443773,1031.497267843094,2
C01_RD14-0003-44_45-1;1-M2S30-0.126IP-Q3.0_003.5sec.fsa,3,1193.7125178614501,947.8795003424374,917.6855754921534,926.9400079718678,940.9641340886076,2
D01_RD14-0003-44_45-1;1-M3S30-0.062IP-Q3.1_004.5sec.fsa,5,1068.9178389023798,820.9687070241916,829.2527539119063,836.5275663605498,815.4564589539378,2
E01_RD14-0003-44_45-1;1-M4S30-0.03IP-Q3.2_001.5sec.fsa,2,927.8460584433041,768.2691653243551,771.9520631172735,768.4591780926628,781.8023323512048,2
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,5,1129.9814587694611,852.825587459417,856.3828674792231,865.4671764314002,839.187026427523,2
B01_RD14-0003-44_45-1;1-M3a-0.25IP-Q0.5_002.5sec.fsa,2,1634.4830126195925,1353.1476914909688,1363.3685839535551,1370.095009867746,1385.6430895303438,2
B02_RD14-0003-44_45-1;1-M2e-0.25IP-Q0.8_002.5sec.fsa,3,1737.3311747654368,1274.0752255242112,1272.5723439641263,1279.0246550278562,1291.8757570505036,2
C01_RD14-0003-44_45-1;1-M3a-0.126IP-Q0.5_003.5sec.fsa,2,1367.91051972423,1094.782268582216,1100.6184295546645,1112.071143954263,1124.6037189895517,2
D01_RD14-0003-44_45-1;1-M3a-0.062IP-Q0.5_004.5sec.fsa,2,1614.7994169757324,1209.576299342883,1215.6786372570714,1227.7734216109484,1240.4749017684956,2
D02_RD14-0003-44_45-1;1-M4e-0.062IP-Q1.3_004.5sec.fsa,5,1458.241860487241,1126.0605990242059,1097.762099799109,1106.227869780136,1088.1753879048506,2
E01_RD14-0003-44_45-1;1-M4a-0.031IP-Q0.5_001.5sec.fsa,4,1270.1229168968737,974.2045523242239,977.5371820293524,963.8332999689135,971.1241006809569,2
E02_RD14-0003-44_45-1;1-M4e-0.031IP-Q1.3_001.5sec.fsa,2,949.6185969053618,726.5656282535897,728.9452808846406,742.9764465630213,757.1147676474499,2
F01_RD14-0003-44_45-1;1-M2d-0.25IP-Q0.7_002.5sec.fsa,3,1699.6387087509818,1302.5603063606368,1302.0280854319328,1313.3301982088985,1315.8158012243716,2
G01_RD14-0003-44_45-1;1-M3d-0.126IP-Q0.5_003.5sec.fsa,2,1515.749077318221,1144.2319075871908,1147.968609343473,1156.9173426371276,1164.3154964964092,2
H01_RD14-0003-44_45-1;1-M4d-0.062IP-Q0.9_004.5sec.fsa,2,1315.010419059618,1019.7051509253383,1020.8689234529394,1028.9612382766143,1040.8990264711476,2
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,3,963.8552252776423,790.4744290652832,789.468018682439,797.6119628707673,792.554828529913,3
F02_RD14-0003-46_47_48-1;1;1-M2S10-0.375IP-Q1.2_002.5sec.fsa,5,1610.7655587750457,1310.877448676738,1252.5704888786527,1258.8411748293352,1248.3692418368491,3
G02_RD14-0003-46_47_48-1;1;1-M2S10-0.189IP-Q1.2_003.5sec.fsa,3,1821.270548538744,1353.598260359539,1310.0650605742244,1319.430637689693,1325.6238937543008,3
H02_RD14-0003-46_47_48-1;1;1-M3S10-0.093IP-Q1.4_004.5sec.fsa,3,1200.4449406094761,992.1232321781773,965.9406509352099,974.6948382479936,985.462886413202,3
A07_RD14-0003-46_47_48-1;1;1-M4d-0.045IP-Q0.6_001.5sec.fsa,2,1309.606756738051,1035.6073362500704,1037.6577370267464,1050.175640671752,1063.7301929970122,3
B06_RD14-0003-46_47_48-1;1;1-M2a-0.375IP-Q0.4_002.5sec.fsa,3,1845.288700216663,1574.4898221184017,1564.5903321685607,1575.2701749577338,1581.6703158962177,3
B07_RD14-0003-46_47_48-1;1;1-M2e-0.375IP-Q1.0_002.5sec.fsa,3,1810.1667584347695,1406.0666664233602,1365.502990920306,1369.3739719841892,1377.2266275406312,3
C06_RD14-0003-46_47_48-1;1;1-M3a-0.189IP-Q0.5_003.5sec.fsa,4,1705.465845841911,1406.1472818439688,1377.9083869111332,1374.7390642173377,1384.0588282386302,3
C07_RD14-0003-46_47_48-1;1;1-M2e-0.189IP-Q1.0_003.5sec.fsa,3,1766.4750198334557,1374.0526962135948,1335.0100489419528,1349.1703685522639,1341.2448091950764,3
D06_RD14-0003-46_47_48-1;1;1-M3a-0.093IP-Q0.5_004.5sec.fsa,3,1660.6408347874542,1343.1045639366941,1323.4216524921094,1332.1565997665346,1342.8294726080442,3
E06_RD14-0003-46_47_48-1;1;1-M3a-0.045IP-Q0.5_001.5sec.fsa,3,1465.0959076264792,1194.23423640565,1176.9175429680104,1186.4782504539194,1195.872943800338,3
E07_RD14-0003-46_47_48-1;1;1-M3e-0.093IP-Q0.8_001.5sec.fsa,3,1483.219558902753,1161.23214868541,1138.885691031011,1153.3280147793662,1168.0533753743182,3
F06_RD14-0003-46_47_48-1;1;1-M3d-0.375IP-Q0.5_002.5sec.fsa,3,1660.544737572253,1366.6172127419422,1340.8897709669436,1351.3002879061178,1365.2737669736923,3
F07_RD14-0003-46_47_48-1;1;1-M3e-0.045IP-Q0.8_002.5sec.fsa,4,1191.7333623395455,966.9929697002353,969.8618502890923,959.0512055700515,968.0718630611497,3
G06_RD14-0003-46_47_48-1;1;1-M4d-0.189IP-Q0.6_003.5sec.fsa,3,1651.5902546839525,1319.8708724850849,1304.7586335792353,1316.8278392369134,1322.3820178557062,3
H06_RD14-0003-46_47_48-1;1;1-M4d-0.093IP-Q0.6_004.5sec.fsa,4,1431.785917911425,1161.8740344130074,1141.4131067896046,1131.3754371559905,1132.19957697598,3
B05_RD14-0003-40_41_42_43-1;1;1;1-M3S10-0.06IP-Q1.5_002.5sec.fsa,3,985.3847140600021,836.1058167553165,830.7577365528347,835.7018361283938,848.2430317817807,4
G04_RD14-0003-40_41_42_43-1;1;1;1-M1S10-0.5IP-Q1.3_003.5sec.fsa,5,1711.260093059639,1414.65629378302,1368.6605485527248,1368.2359298593567,1335.9835626062675,4
